Date,Ticker,0,id
2020-05-15,LSE:TATE,-0.2,16210
2020-05-15,LSE:TCAP,-1.0,14309
2020-05-15,LSE:TED,-4.15,15502
2020-05-15,LSE:TEG,-1.15,15827
2020-05-15,LSE:TEP,-0.7,12204
2020-05-15,LSE:TET,0.21,18405
2020-05-15,LSE:TIFS,-0.03,15102
2020-05-15,LSE:TLW,-1.69,19112
2020-05-15,LSE:TPK,-0.93,17627
2020-05-15,LSE:TPT,-2.22,15721
2020-05-15,LSE:TRI,-0.63,18213
2020-05-15,LSE:TRN,0.88,15828
2020-05-15,LSE:TSCO,0.25,16408
2020-05-15,LSE:TTG,0.01,11203
2020-05-15,LSE:TUI,-0.26,15829
2020-05-15,LSE:TW.,-1.54,15311
2020-05-15,LSE:TYMN,-0.44,17118
2020-05-15,LSE:UDG,-0.78,13103
2020-05-15,LSE:ULE,-0.85,17209
2020-05-15,LSE:ULVR,0.25,16409
2020-05-15,LSE:UU.,-0.27,20207
2020-05-15,LSE:VCT,-0.35,18406
2020-05-15,LSE:VEC,1.57,13309
2020-05-15,LSE:VMUK,-1.06,14108
2020-05-15,LSE:VOD,1.46,12205
2020-05-15,LSE:VP.,0.11,17710
2020-05-15,LSE:VSVS,-1.98,17628
2020-05-15,LSE:VTC,-0.36,17502
2020-05-15,LSE:VTY,-1.95,15312
2020-05-15,LSE:VVO,-1.1,15722
2020-05-15,LSE:WEIR,-1.19,17503
2020-05-15,LSE:WG.,-1.01,19113
2020-05-15,LSE:WIN,-2.71,17711
2020-05-15,LSE:WIZZ,-0.61,15830
2020-05-15,LSE:WMH,0.72,15831
2020-05-15,LSE:WOSG,-0.69,15503
2020-05-15,LSE:WPP,-1.57,15613
2020-05-15,LSE:WTB,-1.31,15832
2020-05-15,LSE:XPP,-0.33,17312
2020-05-15,LSE:XPS,0.73,15204
2020-05-15,LSE:ZTF,-0.79,17408
2020-05-22,IDX:ASX,0.72,10000
2020-05-22,IDX:AXX3510-GBP,0.59,61100
2020-05-22,IDX:FT10,1.25,51000
2020-05-22,IDX:FT15,1.42,12000
2020-05-22,IDX:FT20,0.64,13000
2020-05-22,IDX:FT30,0.32,54000
2020-05-22,IDX:FT40,0.94,55000
2020-05-22,IDX:FT45,0.34,16000
2020-05-22,IDX:FT50,1.35,17000
2020-05-22,IDX:FT55,1.52,18000
2020-05-22,IDX:FT60,1.08,59000
2020-05-22,IDX:FT65,-0.54,60000
2020-05-22,IDX:NMX101010,1.35,11100
2020-05-22,IDX:NMX101020,0.73,11200
2020-05-22,IDX:NMX151010,1.39,12100
2020-05-22,IDX:NMX151020,1.44,12200
2020-05-22,IDX:NMX201010,1.67,13100
2020-05-22,IDX:NMX201020,1.67,13200
2020-05-22,IDX:NMX201030,0.54,13300
2020-05-22,IDX:NMX301010,-0.48,14100
2020-05-22,IDX:NMX302010,1.03,14200
2020-05-22,IDX:NMX302020,1.03,14300
2020-05-22,IDX:NMX303010,-0.02,14400
2020-05-22,IDX:NMX303020,0.59,14500
2020-05-22,IDX:NMX351010,0.3,21100
2020-05-22,IDX:NMX401010,1.08,15100
2020-05-22,IDX:NMX402010,0.85,15200
2020-05-22,IDX:NMX402020,0.26,15300
2020-05-22,IDX:NMX402030,2.66,15400
2020-05-22,IDX:NMX402040,0.12,15500
2020-05-22,IDX:NMX403010,1.25,15600
