Ticker,Change,Close,Date
IDX:FT45,0.246,18163,19/03/2021
IDX:FT15,0.426,1969,19/03/2021
IDX:AXX,-0.086,1192.5,26/03/2021
IDX:ASX,0.09,3842.2,26/03/2021
IDX:FT50,0.116,6191.7,26/03/2021
IDX:FT40,-0.178,5402.3,26/03/2021
IDX:FT65,0.364,7107.3,26/03/2021
IDX:FT60,-0.42,5332.6,26/03/2021
IDX:FT30,0.006,4658.8,26/03/2021
IDX:FT20,-0.03,10895,26/03/2021
IDX:FT55,-0.138,7668.7,26/03/2021
IDX:FT10,0.148,2105.1,26/03/2021
IDX:FT45,0.312,18446,26/03/2021
IDX:FT15,0.052,1974,26/03/2021
IDX:FT50,0.61,6267.3,30/03/2021
IDX:FT40,0.325,5437.4,30/03/2021
IDX:FT65,-0.03,7101.7,30/03/2021
IDX:FT60,-0.45,5284.9,30/03/2021
IDX:FT30,0.56,4710.7,30/03/2021
IDX:FT20,0.905,11090,30/03/2021
IDX:FT55,1.185,7851.9,30/03/2021
IDX:FT10,0.07,2108.1,30/03/2021
IDX:FT45,-0.005,18445,30/03/2021
IDX:FT15,0.66,2000,30/03/2021
IDX:AXX,0.3525,1209.4,01/04/2021
IDX:ASX,0.0475,3849.2,01/04/2021
