Date,Ticker,change,id
2020-05-14,LSE:MARS,100.0,15819
2020-05-14,LSE:MCB,100.0,16402
2020-05-14,LSE:MCRO,100.0,11111
2020-05-14,LSE:MDC,100.0,13101
2020-05-14,LSE:MER,100.0,17618
2020-05-14,LSE:MGAM,100.0,17305
2020-05-14,LSE:MGGT,100.0,17205
2020-05-14,LSE:MGNS,100.0,17111
2020-05-14,LSE:MGP,100.0,13202
2020-05-14,LSE:MKS,100.0,15713
2020-05-14,LSE:MNDI,100.0,17404
2020-05-14,LSE:MNG,100.0,14307
2020-05-14,LSE:MNZS,100.0,17705
2020-05-14,LSE:MONY,100.0,11112
2020-05-14,LSE:MOTR,100.0,15714
2020-05-14,LSE:MRO,100.0,17306
2020-05-14,LSE:MRW,100.0,16403
2020-05-14,LSE:MSLH,100.0,17112
2020-05-14,LSE:MTO,100.0,17619
2020-05-14,LSE:MTRO,100.0,14105
2020-05-14,LSE:NCC,100.0,11113
2020-05-14,LSE:NETW,100.0,11114
2020-05-14,LSE:NEX,100.0,15820
2020-05-14,LSE:NG.,100.0,20203
2020-05-14,LSE:NWG,100.0,14106
2020-05-14,LSE:NXR,100.0,17113
2020-05-14,LSE:NXT,100.0,15715
2020-05-14,LSE:OCDO,100.0,16404
2020-05-14,LSE:OSB,100.0,14205
2020-05-14,LSE:OTB,100.0,15821
2020-05-14,LSE:OXB,100.0,13307
2020-05-14,LSE:OXIG,100.0,17307
2020-05-14,LSE:PAG,100.0,14206
2020-05-14,LSE:PAGE,100.0,17620
2020-05-14,LSE:PAY,100.0,17621
2020-05-14,LSE:PDG,100.0,15716
2020-05-14,LSE:PETS,100.0,15717
2020-05-14,LSE:PFC,100.0,19108
2020-05-14,LSE:PFD,100.0,16209
2020-05-14,LSE:PFG,100.0,14207
2020-05-14,LSE:PHAR,100.0,19109
2020-05-14,LSE:PHNX,100.0,14405
2020-05-14,LSE:PHTM,100.0,15402
2020-05-14,LSE:PLP,100.0,17114
2020-05-14,LSE:PLUS,100.0,14308
2020-05-14,LSE:PMO,100.0,19110
2020-05-14,LSE:PNN,100.0,20204
2020-05-14,LSE:POG,100.0,18304
2020-05-14,LSE:POLY,100.0,18305
2020-05-14,LSE:PPH,100.0,15822
2020-05-14,LSE:PRTC,100.0,13308
2020-05-14,LSE:PRU,100.0,14406
2020-05-14,LSE:PRV,100.0,17308
2020-05-14,LSE:PSN,100.0,15309
2020-05-14,LSE:PSON,100.0,15609
2020-05-14,LSE:PTEC,100.0,15403
2020-05-14,LSE:PZC,100.0,16405
2020-05-14,LSE:QQ.,100.0,17206
2020-05-14,LSE:RCDO,100.0,17115
2020-05-14,LSE:RCH,100.0,15610
2020-05-14,LSE:RDSB,100.0,19111
2020-05-14,LSE:RDW,100.0,15310
2020-05-14,LSE:REDD,100.0,17706
2020-05-14,LSE:REL,100.0,15611
2020-05-14,LSE:RHIM,100.0,18211
2020-05-14,LSE:RIO,100.0,18212
2020-05-14,LSE:RKT,100.0,16406
2020-05-14,LSE:RM.,100.0,15203
2020-05-14,LSE:RMG,100.0,17707
2020-05-14,LSE:RMV,100.0,11115
2020-05-14,LSE:RNK,100.0,15823
2020-05-14,LSE:ROR,100.0,17309
2020-05-14,LSE:RPS,100.0,17622
2020-05-14,LSE:RR.,100.0,17207
2020-05-14,LSE:RSA,100.0,14506
2020-05-14,LSE:RSW,100.0,17310
2020-05-14,LSE:RTN,100.0,15824
2020-05-14,LSE:RTO,100.0,17623
2020-05-14,LSE:RWA,100.0,17624
2020-05-14,LSE:RWI,100.0,20205
2020-05-14,LSE:SAGA,100.0,14507
2020-05-14,LSE:SBRE,100.0,14508
2020-05-14,LSE:SBRY,100.0,16407
2020-05-14,LSE:SCT,100.0,11116
2020-05-14,LSE:SDRY,100.0,15718
2020-05-14,LSE:SDY,100.0,17708
2020-05-14,LSE:SFR,100.0,17116
2020-05-14,LSE:SGC,100.0,15825
2020-05-14,LSE:SGE,100.0,11117
2020-05-14,LSE:SHI,100.0,17117
2020-05-14,LSE:SIG,100.0,17709
2020-05-14,LSE:SKG,100.0,17405
2020-05-14,LSE:SMDS,100.0,17406
2020-05-14,LSE:SMIN,100.0,17407
2020-05-14,LSE:SMWH,100.0,15719
2020-05-14,LSE:SN.,100.0,13203
2020-05-14,LSE:SNR,100.0,17208
2020-05-14,LSE:SPI,100.0,13102
2020-05-14,LSE:SPT,100.0,12102
2020-05-14,LSE:SPX,100.0,17501
2020-05-14,LSE:SRP,100.0,17625
2020-05-14,LSE:SSE,100.0,20103
2020-05-14,LSE:SSPG,100.0,15826
2020-05-14,LSE:STAN,100.0,14107
2020-05-14,LSE:STCK,100.0,16106
2020-05-14,LSE:STEM,100.0,17626
2020-05-14,LSE:STJ,100.0,14407
2020-05-14,LSE:STU,100.0,15720
2020-05-14,LSE:STVG,100.0,15612
2020-05-14,LSE:SUS,100.0,14208
2020-05-14,LSE:SVS,100.0,21104
2020-05-14,LSE:SVT,100.0,20206
2020-05-14,LSE:SXS,100.0,17311
2020-05-14,LSE:SYNT,100.0,18404
2020-05-14,LSE:TATE,100.0,16210
2020-05-14,LSE:TCAP,100.0,14309
2020-05-14,LSE:TED,100.0,15502
2020-05-14,LSE:TEG,100.0,15827
2020-05-14,LSE:TEP,100.0,12204
2020-05-14,LSE:TET,100.0,18405
2020-05-14,LSE:TIFS,100.0,15102
2020-05-14,LSE:TLW,100.0,19112
2020-05-14,LSE:TPK,100.0,17627
2020-05-14,LSE:TPT,100.0,15721
2020-05-14,LSE:TRI,100.0,18213
2020-05-14,LSE:TRN,100.0,15828
2020-05-14,LSE:TSCO,100.0,16408
2020-05-14,LSE:TTG,100.0,11203
2020-05-14,LSE:TUI,100.0,15829
2020-05-14,LSE:TW.,100.0,15311
2020-05-14,LSE:TYMN,100.0,17118
2020-05-14,LSE:UDG,100.0,13103
2020-05-14,LSE:ULE,100.0,17209
2020-05-14,LSE:ULVR,100.0,16409
2020-05-14,LSE:UU.,100.0,20207
2020-05-14,LSE:VCT,100.0,18406
2020-05-14,LSE:VEC,100.0,13309
2020-05-14,LSE:VMUK,100.0,14108
2020-05-14,LSE:VOD,100.0,12205
2020-05-14,LSE:VP.,100.0,17710
2020-05-14,LSE:VSVS,100.0,17628
2020-05-14,LSE:VTC,100.0,17502
2020-05-14,LSE:VTY,100.0,15312
2020-05-14,LSE:VVO,100.0,15722
2020-05-14,LSE:WEIR,100.0,17503
2020-05-14,LSE:WG.,100.0,19113
2020-05-14,LSE:WIN,100.0,17711
2020-05-14,LSE:WIZZ,100.0,15830
2020-05-14,LSE:WMH,100.0,15831
2020-05-14,LSE:WOSG,100.0,15503
2020-05-14,LSE:WPP,100.0,15613
2020-05-14,LSE:WTB,100.0,15832
2020-05-14,LSE:XPP,100.0,17312
2020-05-14,LSE:XPS,100.0,15204
2020-05-14,LSE:ZTF,100.0,17408
2020-05-15,IDX:ASX,99.5,10000
2020-05-15,IDX:AXX3510-GBP,98.79,61100
2020-05-15,IDX:FT10,99.6,51000
2020-05-15,IDX:FT15,101.19,12000
2020-05-15,IDX:FT20,99.89,13000
2020-05-15,IDX:FT30,99.17,54000
2020-05-15,IDX:FT40,99.19,55000
2020-05-15,IDX:FT45,100.01,16000
2020-05-15,IDX:FT50,99.18,17000
2020-05-15,IDX:FT55,100.25,18000
2020-05-15,IDX:FT60,98.65,59000
2020-05-15,IDX:FT65,99.84,60000
2020-05-15,IDX:NMX101010,99.61,11100
2020-05-15,IDX:NMX101020,99.36,11200
2020-05-15,IDX:NMX151010,100.54,12100
2020-05-15,IDX:NMX151020,101.43,12200
2020-05-15,IDX:NMX201010,98.57,13100
2020-05-15,IDX:NMX201020,98.57,13200
2020-05-15,IDX:NMX201030,100.02,13300
2020-05-15,IDX:NMX301010,98.96,14100
2020-05-15,IDX:NMX302010,99.79,14200
2020-05-15,IDX:NMX302020,99.79,14300
2020-05-15,IDX:NMX303010,98.51,14400
2020-05-15,IDX:NMX303020,98.41,14500
2020-05-15,IDX:NMX351010,99.39,21100
2020-05-15,IDX:NMX401010,98.65,15100
2020-05-15,IDX:NMX402010,99.4,15200
2020-05-15,IDX:NMX402020,99.92,15300
2020-05-15,IDX:NMX402030,99.73,15400
2020-05-15,IDX:NMX402040,100.11,15500
2020-05-15,IDX:NMX403010,99.08,15600
